Material,Primary Requirement,Level,Child Component,Secondary Requirement
90000000,21315,1,275753025,63945.0
90000035,40,1,325069010,120.0
90000035,40,1,325086260,120.0
90000035,40,1,360000630,12.0
90000035,40,2,360001280,225.0
90000035,40,2,325040085,360.0
90000035,40,2,390003530,57.6
90000040,15,1,360001280,22.5
90000040,15,1,325040085,45.0
90000040,15,1,325086265,45.0
90000040,15,1,360000630,4.5
90000040,15,2,390003530,21.6
90000050,875,1,325026685,2625.0
90000050,875,2,390003530,630.0
90000060,0,1,325025035,0.0
90000060,0,1,325037280,0.0
90000065,90,1,325025040,108000.0
90000065,90,1,325037280,270.0
90000075,2520,1,390002115,45360.0
90000085,100,1,390000015,1.2
90000105,0,1,390003040,0.0
90000110,160,1,390003040,2880.0
90000160,20,1,390003040,300.0
90000165,15,1,390003040,270.0
90000170,150,1,390003040,2700.0
90000195,100,1,325037990,300.0
90000200,225,1,325037995,675.0
90000270,125,1,325037565,3750.0
90000270,125,1,325026060,375.0
90000270,125,1,325037200,375.0
90000330,450,1,390003015,6.75
90000370,1820,1,390003035,24570.0
90000405,550,1,275874160,1650.0
90000405,550,1,325037190,1650.0
90000405,550,2,390001995,24750.0
90000425,10,1,325038015,30.0
90000435,0,1,325038025,0.0
90000440,25,1,325038030,75.0
90000445,72190,1,325002590,216570.0
90000445,72190,1,325037195,2165.7
90000445,72190,1,275678230,2165.7
90000445,72190,2,390003665,649.71
90000450,230,1,325068905,690.0
90000450,230,1,325037190,690.0
90000450,230,2,325036410,2070.0
90000450,230,3,390000010,49680.0
90000450,230,2,325004640,2070.0
90000590,15,1,325051600,45.0
90000590,15,1,325054915,90.0
90000590,15,1,325046010,45.0
90000590,15,1,325080210,45.0
90000590,15,1,390004935,4.5
90000590,15,1,390004955,4.5
90000590,15,1,325037215,45.0
90000590,15,2,325045510,135.0
90000590,15,2,325027415,135.0
90000590,15,3,390003530,15.795
90000845,15,1,325027350,45.0
90000990,0,1,276199215,0.0
90000990,0,1,90000425,0.0
90000990,0,1,325037190,0.0
90000990,0,1,275678230,0.0
90000990,0,2,325038015,0.0
90001000,800,1,275911325,2400.0
90001000,800,1,325037190,2400.0
90001000,800,1,275678230,2400.0
90001000,800,2,390000815,345600.0
90001015,350,1,275911745,1050.0
90001015,350,1,325037190,1050.0
90001015,350,1,275678230,1050.0
90001015,350,2,390000815,88200.0
90001020,200,1,275911775,600.0
90001020,200,1,325037190,600.0
90001020,200,1,275678230,600.0
90001020,200,2,390000815,68400.0
90001035,0,1,325014920,0.0
90001035,0,1,325014925,0.0
90001035,0,1,90000435,0.0
90001035,0,2,325038025,0.0
90001035,0,2,390002905,0.0
90001035,0,2,390000720,0.0
90001045,215,1,325071800,645.0
90001045,215,1,325037205,645.0
90001045,215,2,325034830,1935.0
90001045,215,2,325040215,3870.0
90001045,215,2,325040225,1935.0
90001045,215,2,325040220,1935.0
90001045,215,3,390005420,2322.0
90001060,5,1,390000385,7500.0
90001060,5,1,325000420,15.0
90001060,5,1,325063820,15.0
90001060,5,1,325000415,15.0
90001060,5,2,390000470,1575.0
90001060,5,2,390002175,630.0
90001110,10,1,325000815,30.0
90001110,10,1,325000690,30.0
90001110,10,1,325000810,30.0
90001110,10,1,325000805,30.0
90001110,10,1,325000705,30.0
90001110,10,1,325039335,30.0
90001110,10,1,275851615,30.0
90001110,10,1,350008725,0.03
90001110,10,1,90000045,30.0
90001110,10,1,325037490,30.0
90001110,10,1,325037520,60.0
90001110,10,2,350015065,900.0
90001110,10,2,375030965,16830.0
90001110,10,2,390000740,2.79
90001110,10,2,390000905,8190.0
90001110,10,2,390000010,4140.0
