Material,Primary Requirement,Parent Component,Level,Child Component,Secondary Requirement
90000000,21315,90000000,1,275753025,3
90000035,40,90000035,1,325069010,3
90000035,40,90000035,1,325086260,3
90000035,40,90000035,1,360000630,0.300
90000035,40,325069010,2,360001280,1.875
90000035,40,325069010,2,325040085,3
90000035,40,325086260,2,390003530,0.480
90000040,15,90000040,1,360001280,1.500
90000040,15,90000040,1,325040085,3
90000040,15,90000040,1,325086265,3
90000040,15,90000040,1,360000630,0.300
90000040,15,325086265,2,390003530,0.480
90000050,875,90000050,1,325026685,3
90000050,875,325026685,2,390003530,0.240
90000060,0,90000060,1,325025035,1200
90000060,0,90000060,1,325037280,3
90000065,90,90000065,1,325025040,1200
90000065,90,90000065,1,325037280,3
90000075,2520,90000075,1,390002115,18
90000085,100,90000085,1,390000015,0.012
90000105,0,90000105,1,390003040,15
90000110,160,90000110,1,390003040,18
90000160,20,90000160,1,390003040,15
90000165,15,90000165,1,390003040,18
90000170,150,90000170,1,390003040,18
90000195,100,90000195,1,325037990,3
90000200,225,90000200,1,325037995,3
90000270,125,90000270,1,325037565,30
90000270,125,90000270,1,325026060,3
90000270,125,90000270,1,325037200,3
90000330,450,90000330,1,390003015,0.015
90000370,1820,90000370,1,390003035,13.500
90000405,550,90000405,1,275874160,3
90000405,550,90000405,1,325037190,3
90000405,550,275874160,2,390001995,15
90000425,10,90000425,1,325038015,3
90000435,0,90000435,1,325038025,3
90000440,25,90000440,1,325038030,3
90000445,72190,90000445,1,325002590,3
90000445,72190,90000445,1,325037195,0.030
90000445,72190,90000445,1,275678230,0.030
90000445,72190,325002590,2,390003665,0.003
90000450,230,90000450,1,325068905,3
90000450,230,90000450,1,325037190,3
90000450,230,325068905,2,325036410,3
90000450,230,325004640,3,390000010,24
90000450,230,325068905,2,325004640,3
90000590,15,90000590,1,325051600,3
90000590,15,90000590,1,325054915,6
90000590,15,90000590,1,325046010,3
90000590,15,90000590,1,325080210,3
90000590,15,90000590,1,390004935,0.300
90000590,15,90000590,1,390004955,0.300
90000590,15,90000590,1,325037215,3
90000590,15,325080210,2,325045510,3
90000590,15,325080210,2,325027415,3
90000590,15,325027415,3,390003530,0.117
90000845,15,90000845,1,325027350,3
90000990,0,90000990,1,276199215,3
90000990,0,90000990,1,90000425,3
90000990,0,90000990,1,325037190,3
90000990,0,90000990,1,275678230,3
90000990,0,90000425,2,325038015,3
90001000,800,90001000,1,275911325,3
90001000,800,90001000,1,325037190,3
90001000,800,90001000,1,275678230,3
90001000,800,275911325,2,390000815,144
90001015,350,90001015,1,275911745,3
90001015,350,90001015,1,325037190,3
90001015,350,90001015,1,275678230,3
90001015,350,275911745,2,390000815,84
90001020,200,90001020,1,275911775,3
90001020,200,90001020,1,325037190,3
90001020,200,90001020,1,275678230,3
90001020,200,275911775,2,390000815,114
90001035,0,90001035,1,325014920,3
90001035,0,90001035,1,325014925,3
90001035,0,90001035,1,90000435,3
90001035,0,90000435,2,325038025,3
90001035,0,325014920,2,390002905,0.051
90001035,0,325014925,2,390000720,0.135
90001045,215,90001045,1,325071800,3
90001045,215,90001045,1,325037205,3
90001045,215,325071800,2,325034830,3
90001045,215,325071800,2,325040215,6
90001045,215,325071800,2,325040225,3
90001045,215,325071800,2,325040220,3
90001045,215,325034830,3,390005420,1.200
90001060,5,90001060,1,390000385,1500
90001060,5,90001060,1,325000420,3
90001060,5,90001060,1,325063820,3
90001060,5,90001060,1,325000415,3
90001060,5,325000415,2,390000470,105
90001060,5,325000420,2,390002175,42
90001110,10,90001110,1,325000815,3
90001110,10,90001110,1,325000690,3
90001110,10,90001110,1,325000810,3
90001110,10,90001110,1,325000805,3
90001110,10,90001110,1,325000705,3
90001110,10,90001110,1,325039335,3
90001110,10,90001110,1,275851615,3
90001110,10,90001110,1,350008725,0.003
90001110,10,90001110,1,90000045,3
90001110,10,90001110,1,325037490,3
90001110,10,90001110,1,325037520,6
90001110,10,275851615,2,350015065,30
90001110,10,325000690,2,375030965,561
90001110,10,325000705,2,390000740,0.093
90001110,10,325000805,2,390000905,273
90001110,10,325000810,2,390000010,138
